OBJECTID,Date,Inspector,Protection,Population,Tag_number,Year,Health,Secondary Pads,Tertiary Pads,Quaternary Pads,Length,Width,Monitor,Notes,GlobalID,x,y
102,7/21/2018 20:17,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,4,14,5,0,38,29,1,,d5dd412c-d8bd-43b9-9425-5e408d022c43,-119.1855494,34.98319524
723,8/28/2018 20:30,Daisy Carillo,Rocks,Salt,0,2017-2018,5,5,0,0,38,29,1,,6678a556-8597-45a0-b816-706760428d36,-118.9713007,34.9775831
739,8/21/2018 16:52,Daisy Carillo,Rocks,Historic,0,2017-2018,5,7,0,0,34,32,1,,eec10981-cee7-4d14-9e24-ec8ae09ab641,-119.0879472,35.01808891
221,8/13/2018 16:52,Brooke Wainwright,Vaca,Lobos,651,2013-2014,5,9,3,0,38,28,1, partially  buried  ,14a7786d-8d58-4115-b7f9-c5c6ad60c7b1,-119.2194338,34.99478277
212,8/13/2018 17:16,Brooke Wainwright,Vaca,Lobos,759,2014-2015,4,7,4,0,35,30,1,,2e297952-69b9-4710-ada1-ac13025c96d1,-119.2193001,34.9944247
315,8/28/2018 20:38,Brooke Wainwright,Rocks and Rebar,Salt,891,2015-2016,5,9,0,0,42,25,1,,f901bdb6-9a67-47fc-84ca-f101fd5807cb,-118.9721509,34.97657469
694,8/20/2018 16:54,Daisy Carillo,Rocks,Muddy,0,2017-2018,5,5,0,0,32,32,1,,45707e62-503b-4143-9faa-d5756f917f92,-119.238321,35.02724823
72,7/21/2018 18:56,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,4,6,4,0,34,30,1,,3f1972fc-bd5e-4a37-91be-7fb6a4bb6684,-119.1856642,34.98357283
362,8/21/2018 18:15,Brooke Wainwright,Rocks and Rebar,Historic,0,,5,14,5,0,35,29,1,missing tag,bee5afaa-71a9-4acb-b8ce-85864a43b7c2,-119.0875821,35.01920647
130,8/13/2018 15:27,Brooke Wainwright,Rebar,Lobos,737,2014-2015,4,11,4,0,39,26,1,,13241c2f-5f3e-469d-867c-41234c4140ac,-119.2191856,34.99687865
303,8/28/2018 21:13,DC,Rocks and Rebar,Salt,677,2013-2014,5,18,1,0,37,27,1,,b198d108-c566-4c2a-a416-4254a5a8f092,-118.9726275,34.97622033
578,8/21/2018 17:51,Daisy Carillo,Rocks,Historic,885,2015-2016,4,9,13,0,30,33,1,pooped on by cattle,5dc6570d-4e3f-4c4e-a46f-55247e794213,-119.0868893,35.01892234
10,7/19/2018 22:49,Brooke Wainwright,Rocks,San Emigdio,26,2012-2013,5,3,7,0,47,21,1,# from rectangular tag,8bcbac1a-e0d0-4b7c-a5a0-132dfb06b584,-119.1804038,34.99287226
257,8/28/2018 21:01,Elizabeth Perez,Rocks,Salt,908,2015-2016,5,15,1,,35,28,1,1 fallen pad,9764ebaf-e576-4bbc-9ce0-df3bda537998,-118.9725338,34.97679437
163,8/13/2018 16:10,Brooke Wainwright,Rocks,Lobos,0,2016-2017,4,10,0,0,36,27,1,Pads buried,793b3288-d49f-45f2-b4a9-d5b2f1b3b6af,-119.2192052,34.99544586
483,8/20/2018 16:57,Brooke Wainwright,Rocks,Muddy,0,2016-2017,5,9,0,0,36,27,1,RE-VISIT. Needs Rebar and tag #,77cbcccb-a6b7-47aa-87f5-28b561b11b7e,-119.2377044,35.02629934
564,8/20/2018 16:08,Daisy Carillo,Rebar,Muddy,967,2015-2016,5,11,0,0,24,40,1,,d1d9a4db-ec14-4592-959c-41caf335b890,-119.2395509,35.02481318
565,8/20/2018 16:03,Daisy Carillo,Rocks,Muddy,968,2015-2016,5,12,1,0,24,40,1,evidence  of  flowers,d0fc65a5-d682-4ede-a880-0f451ab44d2d,-119.2395599,35.02477324
118,7/21/2018 19:43,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,4,11,4,0,32,30,1,,ed7a0ca0-1736-460c-805b-0ddaa5c8c705,-119.1854397,34.98290008
495,8/20/2018 15:44,Daisy Carillo,Rocks,Muddy,972,2015-2016,5,7,8,1,35,27,1,,38938d1d-5a67-43c5-8aa4-b8813f3ca44a,-119.239647,35.02445199
430,8/21/2018 17:33,Brooke Wainwright,Rebar,Historic,866,2015-2016,5,16,3,0,31,30,1,,ee59780f-576c-4ac7-8c10-afed1efd0883,-119.0869278,35.01931945
492,8/20/2018 15:47,Daisy Carillo,Rocks,Muddy,944,2015-2016,5,12,1,0,29,32,1,,87dfc279-2b0d-4eaa-9d0d-6fb97c74ef3d,-119.2394358,35.02457978
398,8/21/2018 16:18,Brooke Wainwright,Rebar,Historic,860,2015-2016,5,14,1,0,30,30,1,,a017d4a0-a441-46e5-9853-21d4bf31878f,-119.0869141,35.01970157
456,8/20/2018 16:35,Brooke Wainwright,Rocks,Muddy,523,2016-2017,5,17,1,0,30,30,1,,42420c8e-3040-40ac-8458-4192d99bbce0,-119.2376447,35.02598498
735,8/21/2018 17:07,Daisy Carillo,Rocks,Historic,0,2017-2018,5,5,0,0,30,30,1,,3ab3d6fa-e2f1-41fc-9d66-d2e529d3f749,-119.0872478,35.01829404
108,7/21/2018 19:50,Brooke Wainwright,Rebar,San Emigdio,303,2012-2013,5,7,3,0,29,31,1,,1c64d619-87bc-47dd-9f27-efc8592ab562,-119.1854562,34.98301339
74,7/21/2018 18:51,Brooke Wainwright,Rocks,San Emigdio,856,2015-2016,4,9,4,0,37,24,1,,762a09c5-e7d1-4fd0-af47-50bedf8293d1,-119.1857032,34.98347856
671,8/13/2018 17:44,Brooke Wainwright,Rocks,Lobos,0,2017-2018,5,0,0,0,34,26,1,,798c2e4d-46f8-4f82-8546-09326b7cce48,-119.2190215,34.99374438
677,8/13/2018 17:31,Brooke Wainwright,Rocks,Lobos,0,2017-2018,4,2,0,0,35,25,1,,e0a0b532-ded9-41f5-9146-78a8228fb87a,-119.2189668,34.99348447
138,8/13/2018 15:33,Brooke Wainwright,Rocks,Lobos,0,2016-2017,4,6,0,0,30,29,1,,46408783-505e-4769-ac00-991a0f5c8ee6,-119.2191596,34.99667045
737,8/21/2018 17:04,Daisy Carillo,Rocks,Historic,0,2017-2018,5,10,0,0,29,30,1,,cff6f54d-487a-4408-8f98-31374a86ef1b,-119.0875644,35.01808549
7,7/19/2018 22:47,Brooke Wainwright,Rebar,San Emigdio,27,2012-2013,5,5,4,0,32,27,1,rebar on side,5c30b986-60d3-4d4f-85ee-24e7f5e1654e,-119.1803787,34.99287623
198,8/13/2018 16:59,Brooke Wainwright,Rocks,Lobos,0,2016-2017,4,9,0,0,33,26,1,,d18dcba4-4893-4d3e-a07c-77090b04fbab,-119.219114,34.99476099
673,8/13/2018 17:37,Brooke Wainwright,Rocks,Lobos,0,2017-2018,4,0,0,0,33,26,1,,d52f930e-1f1d-4d7d-8ff3-f0d27f9d40fd,-119.2189286,34.99366065
414,8/21/2018 17:34,Brooke Wainwright,Rocks,Historic,367,2015-2016,5,11,4,0,34,25,1,,27a8a5ec-b42d-4491-ac97-cf33cbef38e1,-119.0869583,35.01930376
307,8/28/2018 21:09,DC,Rocks and Rebar,Salt,896,2015-2016,5,10,0,0,34,25,1,,827665c0-4fac-41e4-b744-82dfcf1fc78b,-118.9725039,34.9762857
589,8/21/2018 16:17,Brooke Wainwright,Rocks,Historic,543,2016-2017,5,12,0,0,34,25,2,added tag and rebar. previously only straight rebar knocked over,0140adb4-01f3-409e-9da7-4ff1da311745,-119.0870077,35.01968186
698,8/20/2018 17:05,Daisy Carillo,Rocks,Muddy,0,2017-2018,5,3,0,0,30,28,1,,0be84841-f739-43f5-8968-da22f063c414,-119.2389643,35.02796753
100,7/21/2018 20:19,Brooke Wainwright,Rebar,San Emigdio,852,2015-2016,5,9,4,1,38,22,1,,1fcb888b-4bf0-4dd2-ac4d-355d2b7d30e8,-119.1856103,34.98322212
465,8/20/2018 16:26,Brooke Wainwright,Rebar,Muddy,0,2012-2013,5,4,6,0,32,26,1,,b0ce8ec5-0ad7-4531-9574-e5ce8bab3d10,-119.2374876,35.02586408
442,8/20/2018 15:49,Brooke Wainwright,Rocks,Muddy,509,2016-2017,5,14,0,0,32,26,1,,ad46afe1-163f-426a-a342-016dabc96bf1,-119.2381608,35.02507383
71,7/31/2018 17:43,Brooke Wainwright,Rebar,San Emigdio,780,2014-2015,5,8,5,0,36,23,1,,2a57c534-dac8-4a80-a549-4a18e3ede9f3,-119.172781,35.01001631
726,8/28/2018 20:21,Daisy Carillo,Rocks,Salt,0,2017-2018,5,6,0,0,33,25,1,,4836c207-7cf5-4203-b21d-ef7511520367,-118.9712459,34.97817634
319,8/28/2018 20:14,Brooke Wainwright,Rocks,Salt,886,2015-2016,5,9,0,0,30,27,1,,dfa88170-1fa7-4993-8144-3eae88f6a518,-118.9716725,34.97692032
455,8/20/2018 16:28,Brooke Wainwright,Rocks,Muddy,522,2016-2017,5,15,3,0,30,27,1,,d2e9fbdf-a870-441f-a71a-d41573e55564,-119.2376661,35.02589502
491,8/20/2018 15:59,Daisy Carillo,Rocks,Muddy,946,2015-2016,5,11,5,0,28,28,1," unsure, right location but no rebar or tag",aad4e204-9b05-463e-ad13-ee541f40a45c,-119.2393754,35.02467446
268,8/28/2018 20:45,Elizabeth Perez,Rocks,Salt,397,2016-2017,5,13,,,28,28,1,,73c019b5-451f-4041-9703-69e8cc3a6051,-118.9729127,34.97672138
756,8/21/2018 16:00,Daisy Carillo,Rocks,Historic,0,2017-2018,5,5,0,0,28,28,1,,3e9d9809-7db9-4ab1-a090-15047d7b1222,-119.0880815,35.01921817
342,8/21/2018 15:45,Brooke Wainwright,Rocks,Historic,857,2015-2016,5,15,2,0,29,27,1,,f7c75df7-c33d-4e67-bfe6-31144fc189a4,-119.0868343,35.0198691
202,8/13/2018 17:09,Brooke Wainwright,Rocks,Lobos,0,2016-2017,4,9,2,0,34,23,1,,f5b31c27-d9d8-4b8a-9ea7-5351018963f0,-119.2191779,34.99457343
733,8/21/2018 17:10,Daisy Carillo,Rocks,Historic,0,2017-2018,4,6,0,0,23,34,1,,39c6194b-b240-4fa3-b2e5-10ab69245dfc,-119.0873835,35.01857982
755,8/21/2018 16:28,Daisy Carillo,Rocks,Historic,0,2017-2018,5,4,0,0,23,34,1,,9d1a285c-0240-4709-8e11-a6d9d036a2fa,-119.0879186,35.01915783
681,8/13/2018 17:34,Brooke Wainwright,Rocks,Lobos,0,2017-2018,4,0,0,0,31,25,1,,e0094c7e-2b7d-4a54-8c10-b2403894f29b,-119.2189102,34.99356678
683,8/13/2018 17:55,Brooke Wainwright,Rocks,Lobos,0,2017-2018,5,2,0,0,32,24,1,,7b7b0c1e-dfbe-425c-bde2-889ae4c55d2b,-119.2189932,34.99406423
368,8/21/2018 17:15,Daisy Carillo,Rocks,Historic,871,2015-2016,3,6,2,2,38,20,1, length and width measured from live pads,83a408ed-66d2-45de-bee2-6f9f60d5d301,-119.0873708,35.01888146
612,8/21/2018 16:26,Brooke Wainwright,Rocks,Historic,389,2016-2017,2,4,0,0,30,25,2,,7cf396a4-27f8-4d7a-ad22-c83f485844ee,-119.0866373,35.01960005
659,7/31/2018 17:00,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,4,0,0,0,30,25,1,,4c40abcf-b1eb-44f6-ad38-4690f908850b,-119.1724553,35.01023878
592,8/21/2018 17:50,Brooke Wainwright,Rocks,Historic,348,2016-2017,4,7,0,0,43,17,1,,db480593-c993-42ea-87d2-33714b413dd7,-119.0869352,35.01915649
489,8/20/2018 16:12,Daisy Carillo,Rebar,Muddy,948,2015-2016,4,11,0,0,28,26,1,,33712c8a-8591-46cf-aca0-c26c1f552774,-119.2393103,35.02493479
96,7/21/2018 20:34,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,4,9,5,0,29,25,1,no tag; look for orange flag,04edfd65-cfeb-4f6f-9873-4bb9aa317969,-119.1855299,34.98335908
649,7/12/2018 21:39,Daisy Carillo,Rocks,San Emigdio,892,2017-2018,5,0,0,0,30,24,1,,4c462f95-b719-45b4-a21f-f82b5fc45dfb,-119.1803955,34.99307073
640,7/31/2018 17:05,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,3,1,0,0,31,23,1,,e52a63db-fcdf-4194-ad76-ffac454e4d4a,-119.1721975,35.01079706
642,7/31/2018 17:07,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,4,3,0,0,26,27,1,,bcb7ead4-adea-4f9f-8ce8-557a99810e07,-119.1720449,35.01119581
443,8/20/2018 15:50,Brooke Wainwright,Rocks,Muddy,510,2016-2017,3,7,0,0,30,23,1,"2 dead secondary pads, 1 dead tertiary",c11f081c-4982-4539-94dd-829a6870e577,-119.2381153,35.02514866
64,7/31/2018 16:55,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,4,9,0,0,30,23,1,,9ee9080f-21d1-44dc-ab7a-96acb4df1ec7,-119.1725702,35.01040398
395,8/21/2018 17:59,Brooke Wainwright,Rocks,Historic,383,2016-2017,5,11,1,0,31,22,1,,d90cd9cd-092e-4904-bc41-f81d3d6e8aa0,-119.0868465,35.01917918
170,8/13/2018 16:06,Brooke Wainwright,Rebar,Lobos,62,2012-2013,5,5,1,0,34,20,1,,40f541ba-f35f-4748-8208-09b697b009b2,-119.2189422,34.99541802
549,8/20/2018 16:11,Brooke Wainwright,Rebar,Muddy,0,2012-2013,5,3,3,0,26,26,1,,3d4d59d3-be8b-45ef-863b-2659c85d3e95,-119.2375966,35.02557618
680,8/13/2018 17:32,Brooke Wainwright,Rocks,Lobos,0,2017-2018,5,0,0,0,29,23,1,,e0a1f227-fd32-46cd-b81a-b40af56c4c2d,-119.2190663,34.99348293
181,8/13/2018 16:34,Brooke Wainwright,Rocks,Lobos,0,2016-2017,5,11,0,0,28,23,1,,74bdaa3c-2467-4e6b-98e3-9d243c6a266c,-119.2190702,34.995084
449,8/20/2018 16:16,Brooke Wainwright,Rocks,Muddy,516,2016-2017,4,11,0,0,28,23,1,,00288082-bcba-48f9-ad3d-dceae1847092,-119.2379312,35.02572238
665,8/13/2018 17:58,Brooke Wainwright,Rocks,Lobos,0,2017-2018,5,1,0,0,28,23,1,,a4ca2290-a6bb-485c-838c-15625fb9792e,-119.2189821,34.99397737
312,8/28/2018 20:48,Brooke Wainwright,Rocks and Rebar,Salt,893,2015-2016,4,6,3,0,29,22,1,,0f281480-bef9-43b4-8095-20bbb355a088,-118.9722765,34.97642104
94,7/21/2018 20:42,Brooke Wainwright,Rocks,San Emigdio,848,2015-2016,5,10,3,0,30,21,1,,5d2560bf-6cfa-48e2-8a51-6b731958bef9,-119.1855486,34.98349639
705,8/20/2018 17:27,Daisy Carillo,Rocks,Muddy,0,2017-2018,4,1,0,0,30,21,1,,c40605cc-4e34-4f1b-ac10-7ced9674f83b,-119.2393879,35.02612478
77,7/21/2018 19:12,Brooke Wainwright,Rocks,San Emigdio,853,2015-2016,4,7,1,0,34,18,1,,b01f7dd4-5805-4f1e-b579-8aa1e3cc88fa,-119.1857459,34.98325823
387,8/21/2018 16:33,Brooke Wainwright,Rebar,Historic,194,2012-2013,5,3,2,0,35,17,1,,3a9053e8-c690-49cd-b371-c8f2ee228fda,-119.0873431,35.01960083
119,7/21/2018 19:41,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,3,9,6,0,24,24,1,,d1739f2d-767d-42c1-9a74-599bedeea031,-119.1854823,34.98288872
595,8/21/2018 17:01,Brooke Wainwright,Rocks,Historic,505,2016-2017,1,7,0,0,24,23,1,added tag and rebar. most primary pads buried in sand,b368c99a-7bd6-488b-b8c0-85ef52715322,-119.0865254,35.01928237
580,8/21/2018 16:21,Brooke Wainwright,Rocks,Historic,92,2016-2017,3,6,1,1,29,19,2,,bbd5aae5-0857-44a0-a5da-a1576f4ede1f,-119.086611,35.01959198
666,8/13/2018 17:52,Brooke Wainwright,Rocks,Lobos,0,2017-2018,5,4,0,0,25,22,1,,0098f49b-68cb-4730-846a-b1ddb97cc27a,-119.2190121,34.99389754
97,7/21/2018 20:32,Brooke Wainwright,Rocks,San Emigdio,766,2014-2015,4,9,1,0,26,21,1,,ad0bc9d3-f9cc-48bb-a0d4-68e0b12d315e,-119.1855591,34.98334269
532,8/20/2018 16:31,Brooke Wainwright,Rebar,Muddy,159,2012-2013,5,6,4,0,27,20,1,,dec5f36b-8806-459e-aae7-f2fca8b1b993,-119.2377507,35.02597222
259,8/28/2018 20:56,Elizabeth Perez,Rocks,Salt,906,2015-2016,5,12,4,,30,18,1,,fd9d06e5-191a-4e6e-9a98-1c3c395fd9ca,-118.9727487,34.97664816
664,8/13/2018 17:51,Brooke Wainwright,Rocks,Lobos,0,2017-2018,4,3,0,0,23,23,1,,56dbba23-8373-42b2-9840-5a1876fe6f2a,-119.21911,34.99397566
647,7/19/2018 21:50,Brooke Wainwright,Rocks,San Emigdio,896,2017-2018,5,3,0,0,23,23,1,,46edec7c-50a0-4d52-8df5-6cadcf45aa03,-119.1802995,34.9931046
675,8/13/2018 17:35,Brooke Wainwright,Rocks,Lobos,0,2017-2018,3,2,0,0,25,21,1,,4cd2bf12-0ed3-4957-8189-ede3a47b766e,-119.21886,34.99360873
651,7/19/2018 21:47,Brooke Wainwright,Rocks,San Emigdio,891,2017-2018,4,3,0,0,21,25,1,,49c93e3c-f0a4-43a9-b676-2d22f8f34201,-119.1802404,34.9931379
344,8/21/2018 16:01,Brooke Wainwright,Rebar,Historic,144,2012-2013,5,5,1,0,40,13,1,,04ca2dc4-0e1a-4daf-9803-7643157f4a02,-119.0869639,35.0198267
275,8/28/2018 20:24,Elizabeth Perez,Rocks,Salt,102,2016-2017,4,7,,,26,20,1,,db399f69-a567-4ab9-9ee4-1b1299d2afb8,-118.9724784,34.97701056
381,8/21/2018 16:35,Brooke Wainwright,Rebar,Historic,60,2012-2013,5,3,3,0,30,17,1,,e86b7f2f-05d3-4f00-a869-86e002caa92a,-119.087513,35.01956919
197,8/13/2018 16:58,Brooke Wainwright,Rocks,Lobos,0,2016-2017,4,11,0,0,26,19,1,,cdb69ab6-4cbc-4ac8-a887-4348234335bf,-119.2191231,34.99478394
432,8/21/2018 16:51,Brooke Wainwright,Rocks,Historic,176,2016-2017,4,10,1,0,27,18,1,buried,ee85247b-ec23-4d5e-8bc8-ddb27af91f62,-119.0867702,35.01944544
593,8/21/2018 17:21,Brooke Wainwright,Rocks,Historic,6,2016-2017,5,9,0,0,22,22,1,,ed281116-b40b-4a93-9ca9-ebc073a31ebf,-119.0867196,35.0193246
512,8/20/2018 17:03,Brooke Wainwright,Rocks,Muddy,531,2016-2017,3,6,3,0,30,16,1,,72884f10-f576-45f7-937e-37aab4f171ea,-119.237944,35.02609989
655,7/21/2018 19:26,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,3,4,0,0,20,22,1,,a9aeb510-7ec7-4f97-8aa9-5f62aa4f4fb1,-119.1852557,34.98253661
278,8/28/2018 20:13,Elizabeth Perez,Rocks,Salt,510,2016-2017,4,11,1,,29,15,1,,c96b4908-d641-4852-9379-66b617948a90,-118.9722442,34.97714015
639,7/31/2018 17:03,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,5,2,0,0,24,18,1,,a53a0d05-ce6b-4a14-8d57-1eb4dc1bb1d2,-119.1722781,35.01063243
205,8/13/2018 17:19,Brooke Wainwright,Rocks,Lobos,0,2016-2017,3,4,0,0,25,17,1,Pads missing,62d05fce-fefc-4a14-ae48-d5a5c674ac51,-119.2191039,34.99441311
389,8/21/2018 16:41,Brooke Wainwright,Rebar,Historic,62,2012-2013,5,3,1,0,28,15,1,Accidentally mapped incorrectly,570cce35-3273-443a-8c35-31fc7b5bfd83,-119.0871404,35.02027256
274,8/28/2018 20:28,BW,Rocks,Salt,122,2016-2017,4,8,,,22,19,1,,e1a387b5-f4d9-4fac-9a52-5be4876f03d2,-118.972578,34.97702437
271,8/28/2018 20:51,Elizabeth Perez,Rocks,Salt,200,2016-2017,4,7,,,23,18,1,2 replanted,6ace82c0-0889-48b3-b4e0-1267ff11e4e3,-118.972981,34.97653689
400,8/21/2018 16:16,Brooke Wainwright,Rebar,Historic,97,2012-2013,5,2,2,0,25,16,1,,12eabadc-d941-4160-8e1e-c837971a8319,-119.0870735,35.0196776
478,8/20/2018 17:23,Brooke Wainwright,Rebar,Muddy,155,2012-2013,5,4,3,1,25,16,1,,6c7b8037-120c-48c4-a34e-05b33a1e35c8,-119.2381031,35.02572921
558,8/20/2018 17:31,Brooke Wainwright,Rebar,Muddy,736,2014-2015,3,6,3,0,20,20,1,buried in grass,ce752c09-3bea-4c24-85dd-3d3b1dbfa305,-119.2385126,35.02545023
657,7/21/2018 19:22,Brooke Wainwright,Rocks,San Emigdio,0,2017-2018,1,2,0,0,20,20,1, second picture not first,4cd937c9-c718-4607-9a18-6f0e216a2578,-119.1850872,34.98235215
338,8/21/2018 15:43,Brooke Wainwright,Rocks,Historic,39,2016-2017,3,4,2,0,22,18,1,,e25459fd-307f-4d76-8b17-f5587ac1772f,-119.0867037,35.01990501
581,8/21/2018 16:49,Brooke Wainwright,Rocks,Historic,16,2016-2017,3,8,0,0,22,18,1,buried,e55fd069-c17a-4280-87c3-73f28a6fff84,-119.0866788,35.01950989
586,8/21/2018 17:16,Brooke Wainwright,Rocks,Historic,507,2016-2017,3,6,0,0,25,15,1,Not sure if it is a planted one.,51fdea64-30b8-4da2-bed3-83d257d50427,-119.0866432,35.01923332
650,7/19/2018 21:48,Brooke Wainwright,Rocks,San Emigdio,890,2017-2018,3,1,0,0,22,17,1,,057001ac-4a11-4aa2-8044-d64518c9f1c7,-119.1803127,34.99314929
458,8/20/2018 16:38,Brooke Wainwright,Rocks,Muddy,525,2016-2017,2,3,0,0,46,8,1,4 pads uprooted but still alive,13e3a01a-504b-41cf-ba5b-9f1d0d070214,-119.2376073,35.02601807
276,8/28/2018 20:21,Elizabeth Perez,Rocks,Salt,577,2016-2017,4,10,,,19,17,1,,628dd503-6df2-4feb-b0dc-0e450867f57e,-118.972417,34.97704606
409,8/21/2018 16:45,Brooke Wainwright,Rebar,Historic,74,2012-2013,5,3,2,0,29,11,1,,a75fe3bf-794b-4b53-8764-6d2be14179b5,-119.0870644,35.0194571
440,8/21/2018 15:58,Brooke Wainwright,Rocks,Historic,322,2016-2017,4,11,0,0,21,15,1,planted deep,1163416d-2cb1-4dce-acc3-1aa6876ba51b,-119.086665,35.01966523
201,8/13/2018 17:08,Brooke Wainwright,Rebar,Lobos,0,2012-2013,3,3,0,0,18,17,1,quaternary  pad appears to have broken off,800efbe2-b967-4b38-82de-6651e766d501,-119.2191895,34.99459792
270,8/28/2018 20:48,Elizabeth Perez,Rocks,Salt,177,2016-2017,3,7,,,18,16,1,,c746454b-b5e6-4b76-b436-feff3638630a,-118.9729443,34.97658606
277,8/28/2018 20:17,Elizabeth Perez,Rocks,Salt,90,2016-2017,3,5,0,,19,15,1,1 outside rock circle but alive,567bbef4-1abe-47a1-8245-a3f4755b6031,-118.9723315,34.97707413
522,8/20/2018 16:04,Brooke Wainwright,Rebar,Muddy,151,2012-2013,5,3,2,0,21,12,1,,fd31ebd7-c55b-45db-b72f-32e77b670204,-119.2381844,35.02536847
206,8/13/2018 17:20,Brooke Wainwright,Rocks,Lobos,0,2016-2017,3,8,0,0,21,12,1,pads buried,efaab8d8-8772-4bbf-ab05-205f9b7b90cb,-119.2190609,34.99436944
69,7/31/2018 17:21,Brooke Wainwright,Rocks,San Emigdio,0,2016-2017,2,3,1,,25,10,1,,28d7a6cc-9ddc-472a-890d-f5d47666d109,-119.1726584,35.01014183
559,8/20/2018 17:37,Brooke Wainwright,Rebar,Muddy,178,2012-2013,5,5,1,0,14,17,1,,c9093cfa-c8f5-43a8-b1ad-9e81f96afddf,-119.2385591,35.02520302
786,8/28/2018 20:36,Elizabeth Perez,Rocks,Salt,398,2016-2017,2,3,,,18,13,,New cluster found 8/28,fe6729b3-887d-442b-8170-8eec999fbb6d,-118.9726959,34.97691009
142,8/13/2018 15:54,Brooke Wainwright,Rocks,Lobos,0,2016-2017,1,3,0,0,15,14,1,"Pads uprooted, need replanting",0bb394a1-e71c-4f76-bb67-3bb6bc1938a7,-119.219185,34.99597235
759,7/19/2018 22:51,Brooke Wainwright,Rebar,San Emigdio,28,2012-2013,2,1,0,0,20,10,0,,f9af2950-74d8-43d2-ae00-77068ef94a4e,-119.1803571,34.99285269
436,8/21/2018 16:28,Brooke Wainwright,None,Historic,808,2014-2015,1,2,0,0,21,9,1,buried,d5411ec1-8bdf-427d-805f-07cf3670f4de,-119.0868046,35.01958849
543,8/20/2018 16:50,Brooke Wainwright,Rebar,Muddy,170,2012-2013,5,2,1,0,14,9,1,,5997d6e8-ec5e-4c88-8735-c867f0735ee4,-119.2371453,35.02653862
272,8/28/2018 20:39,Elizabeth Perez,Rocks,Salt,576,2016-2017,2,0,,,11,10,1,,51aa8690-896e-4965-b7f7-ffe87e893dd6,-118.9727448,34.97685504
477,8/20/2018 17:21,Brooke Wainwright,Rebar,Muddy,157,2012-2013,5,2,2,0,10,9,1,,48525c09-26ae-41b7-aad5-a3d07f463168,-119.2381232,35.02578608
91,7/21/2018 20:48,Brooke Wainwright,Rebar,San Emigdio,336,2012-2013,5,5,0,0,9,10,1,,53efa633-b64c-4215-800b-9a97b2e41569,-119.1853721,34.9834843
525,8/20/2018 16:07,Brooke Wainwright,Rebar,Muddy,153,2012-2013,5,3,0,0,13,6,1,,9576485e-86fc-4bda-85c6-f01362bf5bfd,-119.2381065,35.02541338
82,7/31/2018 17:36,Brooke Wainwright,Rebar,San Emigdio,778,2014-2015,2,2,0,0,10,7,1,,2a9d1c49-1a90-439d-b3ea-9cebaea66f9d,-119.1728102,35.01028052
208,8/13/2018 17:24,Brooke Wainwright,Rocks,Lobos,0,2016-2017,1,2,0,0,13,4,1,,f550ae51-48fb-4c18-b848-ffae6e4b0cf9,-119.2192735,34.99433126
161,8/13/2018 16:00,Brooke Wainwright,Rocks,Lobos,655,2013-2014,1,1,0,0,10,5,1, barely  alive  ,cdb8e9ce-e7b4-4ec1-b602-903a004901f3,-119.2191955,34.99557584
358,8/21/2018 16:40,Brooke Wainwright,Rebar,Historic,58,2012-2013,5,1,1,0,9,3,1,,7f02330a-0a85-4887-931d-e4bdafaf67d2,-119.0876249,35.01953782
184,8/13/2018 16:38,Brooke Wainwright,Rebar,Lobos,77,2012-2013,1,2,0,0,6,3,1,,1be65b17-23f6-4c18-9072-e70cee18ed84,-119.2191785,34.9950483
606,8/21/2018 17:32,Daisy Carillo,Rebar,Historic,206,2012-2013,0,,,,,,1,"H206, missing",68fc6acd-dcf7-4bd0-9362-183630766862,-119.0861749,35.01898024
599,8/21/2018 16:54,Brooke Wainwright,Rebar,Historic,209,2012-2013,0,,,,,,1,tag number H209. pads absent,d424ef73-460a-4f06-ba93-2aa764dd8fd8,-119.0861758,35.01941865
783,8/21/2018 18:21,Brooke Wainwright,Rebar,Historic,0,2012-2013,0,,,,,,0,pads absent  ,b8e846db-4473-47fa-8422-320b801afa4f,-119.0878543,35.02022757
785,8/21/2018 18:23,Brooke Wainwright,Rebar,Historic,221,2012-2013,0,,,,,,0,pads absent,78e74efe-0b8b-4e4c-adc6-9e31ab9fa5bb,-119.0879055,35.02034046
782,8/21/2018 18:19,Brooke Wainwright,Rebar,Historic,455,2012-2013,5,,,,,,0,,107aca71-4682-4e95-969a-10e487046240,-119.0878354,35.02009847
784,8/21/2018 18:22,Brooke Wainwright,Rebar,Historic,0,2012-2013,5,,,,,,0,,2deecff9-5c43-48c2-8888-b757fbeaf083,-119.0877863,35.02019316
127,8/13/2018 15:19,Brooke Wainwright,Rebar,Lobos,18,2012-2013,0,,,,,,1,Pads absent,645b1acc-ecd8-4a23-9a6f-f58d29ca25f1,-119.2186431,35.00138131
