rep,week,date,mode,mesohabitat,setuptime,lat,long,burrows,x,y,z,notes
VS303,3,17-May,video,shrub,10:03,35.16454,-119.67389,2,289,199,117,
VS403,3,17-May,video,shrub,10:12,35.16482,-119.67342,1,292,252,96,
VS503,3,17-May,video,shrub,10:28,35.16393,-119.67525,1,285,201,113,
VS603,3,17-May,video,shrub,10:22,35.1637,-119.67503,3,271,227,117,
VS703,3,17-May,video,shrub,10:37,35.16312,-119.67577,1,314,251,111,
VS803,3,17-May,video,shrub,10:42,35.16355,-119.6758,1,375,245,87,
VO103,3,17-May,video,open,9:41,35.16405,-119.67372,1,233,205,198,
VO203,3,17-May,video,open,9:58,35.16414,-119.6742,1,283,172,106,
VO303,3,17-May,video,open,10:03,35.16454,-119.67389,2,289,199,117,
VO403,3,17-May,video,open,10:12,35.16482,-119.67342,1,292,252,96,
VO503,3,17-May,video,open,10:28,35.16393,-119.67525,1,285,201,113,
VO603,3,17-May,video,open,10:22,35.1637,-119.67503,3,271,227,117,
VO703,3,17-May,video,open,10:37,35.16312,-119.67577,1,314,251,111,
VO803,3,17-May,video,open,10:42,35.16355,-119.6758,1,375,245,87,
PS104,4,25-May,photo,shrub,11:46,35.11768,-119.63171,1,257,228,131,
PS204,4,25-May,photo,shrub,12:01,35.11791,-119.63262,2,398,273,123,
PS304,4,25-May,photo,shrub,12:15,35.12078,-119.62711,1,332,199,97,
PS404,4,25-May,photo,shrub,12:33,35.12147,-119.62784,3,245,167,92,
PS504,4,25-May,photo,shrub,12:30,35.12137,-119.62811,2,204,193,112,
PS604,4,25-May,photo,shrub,12:18,35.12076,-119.62675,1,280,252,109,
PS704,4,25-May,photo,shrub,11:50,35.11737,-119.63216,1,265,233,140,
PS804,4,25-May,photo,shrub,11:58,35.11756,-119.63277,2,244,227,124,
PO104,4,25-May,photo,open,11:46,35.11768,-119.63171,1,257,228,131,
PO204,4,25-May,photo,open,12:01,35.11791,-119.63262,2,398,273,123,
PO304,4,25-May,photo,open,12:15,35.12078,-119.62711,1,332,199,97,
PO404,4,25-May,photo,open,12:33,35.12147,-119.62784,3,245,167,92,
PO504,4,25-May,photo,open,12:30,35.12137,-119.62811,2,204,193,112,
PO604,4,25-May,photo,open,12:18,35.12076,-119.62675,1,280,252,109,
PO704,4,25-May,photo,open,11:50,35.11737,-119.63216,1,265,233,140,
PO804,4,25-May,photo,open,11:58,35.11756,-119.63277,2,244,227,124,
VS104,4,20-May,video,shrub,10:57,35.16454,-119.67442,2,244,175,122,
VS204,4,20-May,video,shrub,11:03,35.16478,-119.67955,1,310,196,102,
VS304,4,20-May,video,shrub,11:27,35.16514,-119.67437,1,290,272,124,
VS404,4,20-May,video,shrub,11:18,35.16536,-119.67416,0,234,155,122,
VS504,4,20-May,video,shrub,10:22,35.16421,-119.67587,1,249,180,86,
VS604,4,20-May,video,shrub,10:26,35.1674,-119.67595,0,304,180,140,
VS704,4,20-May,video,shrub,10:39,35.1635,-119.67616,3,196,180,84,
VS804,4,20-May,video,shrub,10:44,35.16387,-119.67629,1,221,191,127,
VO104,4,20-May,video,open,10:57,35.16454,-119.67442,2,244,175,122,
VO204,4,20-May,video,open,11:03,35.16478,-119.67955,1,310,196,102,
VO304,4,20-May,video,open,11:27,35.16514,-119.67437,1,290,272,124,
VO404,4,20-May,video,open,11:18,35.16536,-119.67416,0,234,155,122,
VO504,4,20-May,video,open,10:22,35.16421,-119.67587,1,249,180,86,
VO604,4,20-May,video,open,10:26,35.1674,-119.67595,0,304,180,140,
VO704,4,20-May,video,open,10:39,35.1635,-119.67616,3,196,180,84,
VO804,4,20-May,video,open,10:44,35.16387,-119.67629,1,221,191,127,
VS105,5,23-May,video,shrub,10:22,35.16485,-119.67504,3,328,261,135,
VS205,5,23-May,video,shrub,10:30,35.1645,-119.67529,0,371,231,118,
VS305,5,23-May,video,shrub,10:43,35.16519,-119.67467,1,256,197,167,
VS405,5,23-May,video,shrub,10:50,35.16528,-119.64491,2,229,203,119,
VS505,5,23-May,video,shrub,11:02,35.16425,-119.67639,8,360,335,147,
VS605,5,23-May,video,shrub,11:05,35.16445,-119.6765,3,275,271,114,
VS705,5,23-May,video,shrub,11:12,35.16408,-119.67639,4,294,192,108,
VS805,5,23-May,video,shrub,11:14,35.16413,-119.67677,5,284,192,119,
VO105,5,23-May,video,open,10:22,35.16485,-119.67504,3,328,261,135,
VO205,5,23-May,video,open,10:30,35.1645,-119.67529,0,371,231,118,
VO305,5,23-May,video,open,10:43,35.16519,-119.67467,1,256,197,167,
VO405,5,23-May,video,open,10:50,35.16528,-119.64491,2,229,203,119,
VO505,5,23-May,video,open,11:02,35.16425,-119.67639,8,360,335,147,
VO605,5,23-May,video,open,11:05,35.16445,-119.6765,3,275,271,114,
VO705,5,23-May,video,open,11:12,35.16408,-119.67639,4,294,192,108,
VO805,5,23-May,video,open,11:14,35.16413,-119.67677,5,284,192,119,
VS106,6,26-May,video,shrub,10:38,35.16505,-119.67527,6,294,140,78,
VS206,6,26-May,video,shrub,10:33,35.16484,-119.67557,3,306,208,113,
VS306,6,26-May,video,shrub,10:48,35.16583,-119.67544,4,210,186,117,
VS406,6,26-May,video,shrub,10:46,35.16542,-119.67514,8,275,260,124,
VS506,6,26-May,video,shrub,10:58,35.16496,-119.67662,9,289,285,136,
VS606,6,26-May,video,shrub,10:56,35.16462,-119.67653,6,263,238,135,
VS706,6,26-May,video,shrub,11:05,35.16435,-119.67695,1,286,237,126,
VS806,6,26-May,video,shrub,11:06,35.16447,-119.67693,3,230,195,125,
VO106,6,26-May,video,open,10:38,35.16505,-119.67527,6,294,140,78,
VO206,6,26-May,video,open,10:33,35.16484,-119.67557,3,306,208,113,
VO306,6,26-May,video,open,10:48,35.16583,-119.67544,4,210,186,117,
VO406,6,26-May,video,open,10:46,35.16542,-119.67514,8,275,260,124,
VO506,6,26-May,video,open,10:58,35.16496,-119.67662,9,289,285,136,
VO606,6,26-May,video,open,10:56,35.16462,-119.67653,6,263,238,135,
VO706,6,26-May,video,open,11:05,35.16435,-119.67695,1,286,237,126,
VO806,6,26-May,video,open,11:06,35.16447,-119.67693,3,230,195,125,
