rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
249,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
252,2019,2019-05-02,5.2.14,spring,2,7,cactus,Unknown,Unknown,unknown,Unknown,movement
253,2019,2019-05-02,5.2.14,spring,2,7,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,movement
253,2019,2019-08-22,8.22.6,summer,22,42,cactus,Troglodytidae,Cactus Wren,resident,omnivore,movement
256,2019,2019-05-02,5.2.14,spring,2,7,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
257,2019,2019-08-22,8.22.6,summer,22,42,cactus,Remezidae,Verdin,resident,insectivore,perching
260,2019,2019-08-22,8.22.18,summer,22,43,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
262,2019,2019-08-22,8.22.18,summer,22,43,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
264,2019,2019-05-03,5.3.6,spring,3,8,open,Fringillidae,House Finch,resident,frugivore,movement
265,2019,2019-05-03,5.3.6,spring,3,8,open,Fringillidae,House Finch,resident,frugivore,movement
266,2019,2019-05-03,5.3.6,spring,3,8,open,Apodidae,White.throated Swift,resident,insectivore,movement
266,2019,2019-08-23,8.23.7,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
267,2019,2019-05-03,5.3.6,spring,3,8,open,Apodidae,White.throated Swift,resident,insectivore,movement
268,2019,2019-08-23,8.23.7,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
269,2019,2019-05-03,5.3.6,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
270,2019,2019-05-03,5.3.6,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
271,2019,2019-05-03,5.3.6,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
271,2019,2019-08-23,8.23.7,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
272,2019,2019-08-23,8.23.7,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
275,2019,2019-08-23,8.23.7,summer,23,44,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
276,2019,2019-08-23,8.23.7,summer,23,44,open,Cuculidae,Greater Roadrunner,resident,insectivore,movement
277,2019,2019-08-23,8.23.7,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
278,2019,2019-08-23,8.23.7,summer,23,44,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
281,2019,2019-08-23,8.23.7,summer,23,44,cactus,Picidae,Nuttall's Woodpecker,resident,frugivore,feeding
282,2019,2019-08-23,8.23.7,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
283,2019,2019-05-03,5.3.6,spring,3,8,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,perching
283,2019,2019-08-23,8.23.7,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
284,2019,2019-08-23,8.23.7,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,perching
286,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
287,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
288,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
289,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
291,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
291,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
292,2019,2019-05-03,5.3.6,spring,3,8,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
292,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
293,2019,2019-05-03,5.3.6,spring,3,8,shrub,Parulidae,MacGillivray's Warbler,migrant,insectivore,movement
293,2019,2019-08-23,8.23.18,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
294,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
295,2019,2019-05-03,5.3.6,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
