tag,weight,fruit_x,fruit_y,fruit_z,color,condition
343,3.89,20,20,20,grey,dessicated
343,3.72,15,15,20,grey,dessicated
343,3.66,20,20,20,grey,dessicated
343,3.57,20,20,20,grey,dessicated
343,3.46,20,20,20,grey,dessicated
343,3.27,20,20,15,grey,dessicated
343,3.24,15,15,20,grey,dessicated
343,2.5,15,15,15,grey,dessicated
344,3.43,15,15,30,black,dessicated
344,3.15,20,20,20,grey,dessicated
344,2.85,15,15,30,black,dessicated
344,2.85,20,20,20,black,dessicated
344,2.07,20,15,30,grey,dessicated
344,1.83,20,15,20,grey,dessicated
344,1.4,10,10,20,grey,dessicated
344,1.29,20,10,20,grey,dessicated
344,1.28,10,10,20,grey,dessicated
344,1.03,10,10,20,grey,dessicated
345,10,20,20,30,brown,ripe
345,9.66,20,20,30,brown,ripe
345,9.55,25,25,25,brown,ripe
345,8.94,20,20,35,yellow green,ripe
345,8.91,20,20,25,brown,ripe
345,7.44,20,20,30,brown,ripe
345,7.2,20,20,25,brown,ripe
345,5.37,25,25,30,brown,ripe
345,3.85,20,20,30,yellow,ripe
345,3.64,15,15,25,green,ripe
346,4.62,20,20,25,grey,dessicated
346,4.35,20,20,25,grey,dessicated
350,3.9,15,10,20,grey,dessicated
350,3.21,15,15,20,grey,dessicated
350,2.93,20,15,20,grey,dessicated
350,2.5,15,15,20,grey,dessicated
350,2.5,20,20,15,grey,dessicated
350,2.16,15,10,15,grey,dessicated
350,1.97,15,15,10,grey,dessicated
350,1.09,15,10,20,grey,dessicated
350,0.87,15,10,15,grey,dessicated
350,0.81,20,10,20,grey,dessicated
351,1.75,20,20,20,grey,dessicated
351,1.17,20,15,15,grey,dessicated
354,3,20,15,15,grey,dessicated
354,2.69,20,20,20,grey,dessicated
354,2.69,15,15,20,grey,dessicated
354,2.66,15,15,20,grey,dessicated
354,2.63,15,15,15,grey,dessicated
354,2.58,20,15,20,grey,dessicated
354,2.48,15,15,20,grey,dessicated
354,2.47,20,15,20,grey,dessicated
354,2.46,15,10,15,grey,dessicated
354,1.91,15,10,15,grey,dessicated
355,8.17,20,20,35,black,dessicated
355,5.84,20,20,25,grey,dessicated
355,5,20,20,25,grey,dessicated
355,4.12,20,15,25,grey,dessicated
355,3.91,20,15,30,grey,dessicated
355,3.87,20,15,20,grey,dessicated
355,3.62,20,20,20,grey,dessicated
355,3.5,20,20,25,grey,dessicated
355,3.39,20,15,30,grey,dessicated
355,1.34,15,15,25,grey,dessicated
356,7.16,20,20,25,grey,dessicated
356,5.91,25,20,30,grey,dessicated
356,5.56,25,25,30,grey,dessicated
356,5.54,20,20,25,grey,dessicated
356,5.31,20,20,25,grey,dessicated
356,5.12,20,20,25,grey,dessicated
356,1.21,15,15,20,grey,dessicated
356,14.49,25,25,40,brown,ripe
356,9.47,20,20,30,brown,ripe
356,9.42,25,20,25,brown,ripe
357,3.74,20,20,20,grey,dessicated
357,1.36,20,10,20,grey,dessicated
357,1.12,15,10,20,grey,dessicated
357,0.91,15,10,20,grey,dessicated
357,0.86,15,10,15,grey,dessicated
357,2,20,10,20,yellow green,ripe
357,1.94,15,10,20,green,ripe
357,1.93,20,10,20,yellow green,ripe
357,1.77,15,10,20,yellow green,ripe
357,1.5,15,10,20,yellow green,ripe
358,2.03,15,15,20,grey,dessicated
358,2.01,20,15,20,grey,dessicated
358,1.89,15,15,15,grey,dessicated
358,1.74,15,15,15,grey,dessicated
358,1.6,15,15,20,grey,dessicated
358,1.56,15,10,15,grey,dessicated
358,1.42,15,10,15,grey,dessicated
358,1.41,15,10,15,grey,dessicated
358,0.6,10,10,15,grey,dessicated
358,0.51,10,10,10,grey,dessicated
359,2.76,20,20,20,grey,dessicated
359,2.47,20,20,20,grey,dessicated
359,2.41,20,20,15,grey,dessicated
359,2.35,20,20,20,grey,dessicated
359,2.33,20,20,20,grey,dessicated
359,2.31,20,20,15,grey,dessicated
359,2.04,20,20,20,grey,dessicated
359,1.28,15,15,15,grey,dessicated
359,1.17,10,10,10,grey,dessicated
359,1.03,15,15,15,grey,dessicated
361,5.51,25,20,25,grey,dessicated
361,3.26,20,20,20,black,dessicated
361,1.63,20,20,20,grey,dessicated
361,1.4,20,15,20,grey,dessicated
361,1.36,15,15,15,grey,dessicated
361,1.31,15,15,15,grey,dessicated
361,0.98,10,10,10,grey,dessicated
363,3.92,20,20,20,grey,dessicated
363,3.41,20,20,25,grey,dessicated
363,3.25,20,20,20,grey,dessicated
363,3.01,20,15,20,grey,dessicated
363,2.92,20,20,25,grey,dessicated
363,2.91,20,20,25,grey,dessicated
363,2.83,25,20,15,grey,dessicated
363,2.51,20,15,20,grey,dessicated
363,2.34,20,20,20,grey,dessicated
363,4.76,20,20,30,yellow green,ripe
364,6.95,20,20,25,grey,dessicated
364,6.95,25,20,25,grey green,dessicated
364,5.71,25,20,30,grey,dessicated
364,5.42,25,25,25,grey,dessicated
364,5.37,20,20,25,grey,dessicated
364,4.85,25,20,30,grey,dessicated
364,4.76,25,20,30,grey,dessicated
364,4.53,20,20,25,grey,dessicated
364,4.1,20,15,25,grey,dessicated
364,3.85,20,20,20,grey,dessicated
365,4.18,20,15,25,grey,dessicated
365,3.55,20,15,25,grey,dessicated
365,3.23,20,20,20,grey,dessicated
365,7.77,20,15,30,yellow brown,ripe
365,7.7,20,20,25,brown,ripe
365,7.27,20,20,25,yellow,ripe
365,7.01,15,15,30,yellow,ripe
365,6.41,15,15,30,brown,ripe
365,6.26,20,20,25,yellow,ripe
365,5.67,20,20,25,yellow,ripe
366,3.78,20,20,20,grey,dessicated
366,3.72,20,20,20,grey,dessicated
366,3.56,20,20,20,grey,dessicated
366,3.17,20,15,20,grey,dessicated
366,3.16,20,15,20,grey,dessicated
366,3.11,20,20,20,grey,dessicated
366,3.03,15,15,20,grey,dessicated
366,2.63,20,15,15,grey,dessicated
366,2.4,20,15,20,grey,dessicated
367,1.76,15,15,10,grey,dessicated
368,3.61,20,20,20,grey,dessicated
368,3.52,20,20,20,grey,dessicated
368,2.16,15,15,15,grey,dessicated
368,2.03,20,20,20,grey,dessicated
