"Plot Title: 20597550"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597550, SEN S/N: 20597550)","Intensity, lum/ft² (LGR S/N: 20597550, SEN S/N: 20597550)","Coupler Attached (LGR S/N: 20597550)","Host Connected (LGR S/N: 20597550)","Coupler Detached (LGR S/N: 20597550)","Stopped (LGR S/N: 20597550)","End Of File (LGR S/N: 20597550)"
192,05/16/19 04:50:00 PM,88.650,1344.0,,,,,
193,05/16/19 05:00:00 PM,93.493,1280.0,,,,,
194,05/16/19 05:10:00 PM,93.304,1216.0,,,,,
195,05/16/19 05:20:00 PM,90.867,896.0,,,,,
196,05/16/19 05:30:00 PM,81.090,77.0,,,,,
197,05/16/19 05:40:00 PM,75.312,96.0,,,,,
198,05/16/19 05:50:00 PM,69.793,107.0,,,,,
199,05/16/19 06:00:00 PM,74.446,480.0,,,,,
200,05/16/19 06:10:00 PM,68.592,36.0,,,,,
201,05/16/19 06:20:00 PM,63.968,32.0,,,,,
202,05/16/19 06:30:00 PM,61.912,29.0,,,,,
203,05/16/19 06:40:00 PM,60.368,26.0,,,,,
204,05/16/19 06:50:00 PM,59.680,23.0,,,,,
205,05/16/19 07:00:00 PM,59.164,20.0,,,,,
206,05/16/19 07:10:00 PM,58.647,18.0,,,,,
207,05/16/19 07:20:00 PM,57.785,14.0,,,,,
208,05/16/19 07:30:00 PM,56.404,9.0,,,,,
209,05/16/19 07:40:00 PM,55.189,5.0,,,,,
210,05/16/19 07:50:00 PM,54.322,1.0,,,,,
211,05/16/19 08:00:00 PM,53.798,0.0,,,,,
212,05/16/19 08:10:00 PM,53.274,0.0,,,,,
213,05/16/19 08:20:00 PM,52.925,0.0,,,,,
214,05/16/19 08:30:00 PM,52.401,0.0,,,,,
215,05/16/19 08:40:00 PM,52.050,0.0,,,,,
216,05/16/19 08:50:00 PM,51.699,0.0,,,,,
217,05/16/19 09:00:00 PM,50.995,0.0,,,,,
218,05/16/19 09:10:00 PM,50.466,0.0,,,,,
219,05/16/19 09:20:00 PM,50.113,0.0,,,,,
220,05/16/19 09:30:00 PM,49.582,0.0,,,,,
221,05/16/19 09:40:00 PM,49.404,0.0,,,,,
222,05/16/19 09:50:00 PM,49.050,0.0,,,,,
223,05/16/19 10:00:00 PM,49.050,0.0,,,,,
224,05/16/19 10:10:00 PM,48.871,0.0,,,,,
225,05/16/19 10:20:00 PM,48.695,0.0,,,,,
226,05/16/19 10:30:00 PM,48.517,0.0,,,,,
227,05/16/19 10:40:00 PM,48.339,0.0,,,,,
228,05/16/19 10:50:00 PM,48.160,0.0,,,,,
229,05/16/19 11:00:00 PM,47.982,0.0,,,,,
230,05/16/19 11:10:00 PM,47.802,0.0,,,,,
231,05/16/19 11:20:00 PM,47.446,0.0,,,,,
232,05/16/19 11:30:00 PM,47.446,0.0,,,,,
233,05/16/19 11:40:00 PM,47.266,0.0,,,,,
234,05/16/19 11:50:00 PM,47.088,0.0,,,,,
235,05/17/19 12:00:00 AM,47.088,0.0,,,,,
236,05/17/19 12:10:00 AM,46.908,0.0,,,,,
237,05/17/19 12:20:00 AM,46.728,0.0,,,,,
238,05/17/19 12:30:00 AM,46.548,0.0,,,,,
239,05/17/19 12:40:00 AM,46.548,0.0,,,,,
240,05/17/19 12:50:00 AM,46.369,0.0,,,,,
241,05/17/19 01:00:00 AM,46.548,0.0,,,,,
242,05/17/19 01:10:00 AM,46.188,0.0,,,,,
243,05/17/19 01:20:00 AM,46.188,0.0,,,,,
244,05/17/19 01:30:00 AM,46.008,0.0,,,,,
245,05/17/19 01:40:00 AM,45.648,0.0,,,,,
246,05/17/19 01:50:00 AM,45.466,0.0,,,,,
247,05/17/19 02:00:00 AM,45.104,0.0,,,,,
